Initializing env
'MountainCarEnv' object has no attribute 'init'
Initializing basis
Initializing agent
Initializing reward_func
'super' object has no attribute 'init'
Initializing gamma_func
Initializing offpolicy
'bool' object has no attribute 'init'
Initializing max_episodes
'int' object has no attribute 'init'
Initializing buffer_size
'int' object has no attribute 'init'
Initializing batch_size
'int' object has no attribute 'init'
Initializing seed
'int' object has no attribute 'init'
Episode: 238 | Total Reward: -52.0 | Length: 52 | Avg Reward: -1.0
Episode: 239 | Total Reward: -50.0 | Length: 50 | Avg Reward: -1.0
Episode: 240 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 241 | Total Reward: -53.0 | Length: 53 | Avg Reward: -1.0
Episode: 242 | Total Reward: -56.0 | Length: 56 | Avg Reward: -1.0
Episode: 243 | Total Reward: -116.0 | Length: 116 | Avg Reward: -1.0
Episode: 244 | Total Reward: -46.0 | Length: 46 | Avg Reward: -1.0
Episode: 245 | Total Reward: -46.0 | Length: 46 | Avg Reward: -1.0
Episode: 246 | Total Reward: -60.0 | Length: 60 | Avg Reward: -1.0
Episode: 247 | Total Reward: -49.0 | Length: 49 | Avg Reward: -1.0
Episode: 248 | Total Reward: -70.0 | Length: 70 | Avg Reward: -1.0
Episode: 249 | Total Reward: -50.0 | Length: 50 | Avg Reward: -1.0
Episode: 250 | Total Reward: -48.0 | Length: 48 | Avg Reward: -1.0
Episode: 251 | Total Reward: -52.0 | Length: 52 | Avg Reward: -1.0
Episode: 252 | Total Reward: -53.0 | Length: 53 | Avg Reward: -1.0
Episode: 253 | Total Reward: -49.0 | Length: 49 | Avg Reward: -1.0
Episode: 254 | Total Reward: -65.0 | Length: 65 | Avg Reward: -1.0
Episode: 255 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 256 | Total Reward: -54.0 | Length: 54 | Avg Reward: -1.0
Episode: 257 | Total Reward: -46.0 | Length: 46 | Avg Reward: -1.0
Episode: 258 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 259 | Total Reward: -59.0 | Length: 59 | Avg Reward: -1.0
Episode: 260 | Total Reward: -70.0 | Length: 70 | Avg Reward: -1.0
Episode: 261 | Total Reward: -47.0 | Length: 47 | Avg Reward: -1.0
Episode: 262 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 263 | Total Reward: -47.0 | Length: 47 | Avg Reward: -1.0
Episode: 264 | Total Reward: -139.0 | Length: 139 | Avg Reward: -1.0
Episode: 265 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 266 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 267 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 268 | Total Reward: -54.0 | Length: 54 | Avg Reward: -1.0
Episode: 269 | Total Reward: -46.0 | Length: 46 | Avg Reward: -1.0
Episode: 270 | Total Reward: -51.0 | Length: 51 | Avg Reward: -1.0
Episode: 271 | Total Reward: -56.0 | Length: 56 | Avg Reward: -1.0
Episode: 272 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 273 | Total Reward: -58.0 | Length: 58 | Avg Reward: -1.0
Episode: 274 | Total Reward: -53.0 | Length: 53 | Avg Reward: -1.0
Episode: 275 | Total Reward: -53.0 | Length: 53 | Avg Reward: -1.0
Episode: 276 | Total Reward: -72.0 | Length: 72 | Avg Reward: -1.0
Episode: 277 | Total Reward: -55.0 | Length: 55 | Avg Reward: -1.0
Episode: 278 | Total Reward: -101.0 | Length: 101 | Avg Reward: -1.0
Episode: 279 | Total Reward: -51.0 | Length: 51 | Avg Reward: -1.0
Episode: 280 | Total Reward: -55.0 | Length: 55 | Avg Reward: -1.0
Episode: 281 | Total Reward: -57.0 | Length: 57 | Avg Reward: -1.0
Episode: 282 | Total Reward: -65.0 | Length: 65 | Avg Reward: -1.0
Episode: 283 | Total Reward: -48.0 | Length: 48 | Avg Reward: -1.0
Episode: 284 | Total Reward: -52.0 | Length: 52 | Avg Reward: -1.0
Episode: 285 | Total Reward: -98.0 | Length: 98 | Avg Reward: -1.0
Episode: 286 | Total Reward: -47.0 | Length: 47 | Avg Reward: -1.0
Episode: 287 | Total Reward: -58.0 | Length: 58 | Avg Reward: -1.0
Episode: 288 | Total Reward: -48.0 | Length: 48 | Avg Reward: -1.0
Episode: 289 | Total Reward: -46.0 | Length: 46 | Avg Reward: -1.0
Episode: 290 | Total Reward: -115.0 | Length: 115 | Avg Reward: -1.0
Episode: 291 | Total Reward: -66.0 | Length: 66 | Avg Reward: -1.0
Episode: 292 | Total Reward: -46.0 | Length: 46 | Avg Reward: -1.0
Episode: 293 | Total Reward: -57.0 | Length: 57 | Avg Reward: -1.0
Episode: 294 | Total Reward: -80.0 | Length: 80 | Avg Reward: -1.0
Episode: 295 | Total Reward: -47.0 | Length: 47 | Avg Reward: -1.0
Episode: 296 | Total Reward: -58.0 | Length: 58 | Avg Reward: -1.0
Episode: 297 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 298 | Total Reward: -73.0 | Length: 73 | Avg Reward: -1.0
Episode: 299 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 300 | Total Reward: -68.0 | Length: 68 | Avg Reward: -1.0
Episode: 301 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 302 | Total Reward: -50.0 | Length: 50 | Avg Reward: -1.0
Episode: 303 | Total Reward: -48.0 | Length: 48 | Avg Reward: -1.0
Episode: 304 | Total Reward: -47.0 | Length: 47 | Avg Reward: -1.0
Episode: 305 | Total Reward: -47.0 | Length: 47 | Avg Reward: -1.0
Episode: 306 | Total Reward: -76.0 | Length: 76 | Avg Reward: -1.0
Episode: 307 | Total Reward: -50.0 | Length: 50 | Avg Reward: -1.0
Episode: 308 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 309 | Total Reward: -51.0 | Length: 51 | Avg Reward: -1.0
Episode: 310 | Total Reward: -67.0 | Length: 67 | Avg Reward: -1.0
Episode: 311 | Total Reward: -48.0 | Length: 48 | Avg Reward: -1.0
Episode: 312 | Total Reward: -48.0 | Length: 48 | Avg Reward: -1.0
Episode: 313 | Total Reward: -47.0 | Length: 47 | Avg Reward: -1.0
Episode: 314 | Total Reward: -47.0 | Length: 47 | Avg Reward: -1.0
Episode: 315 | Total Reward: -51.0 | Length: 51 | Avg Reward: -1.0
